"recipe.link","ingredient","ingredient.quantity","ingredient.as.written"
"/recipes/1015396-old-fashioned-whiskey-cocktail","Sugar Cube","1","sugar cube"
"/recipes/1015396-old-fashioned-whiskey-cocktail","Angostura Aromatic Bitters","2","dashes Angostura bitters"
"/recipes/1015396-old-fashioned-whiskey-cocktail","DROP","","Dash of water"
"/recipes/1015396-old-fashioned-whiskey-cocktail","Elijah Craig 12-Year","2","ounces bourbon (I like Elijah Craig 12-year-old, a great value)."
"/recipes/1015394-kenneth-mccoys-old-fashioned","Regan’s Orange Bitters","","Dash of Regans’ orange bitters"
"/recipes/1015394-kenneth-mccoys-old-fashioned","Angostura Aromatic Bitters","","Dash of Angostura bitters"
"/recipes/1015394-kenneth-mccoys-old-fashioned","Simple Syrup","","Dash of simple syrup"
"/recipes/1015394-kenneth-mccoys-old-fashioned","Brandied Cherries","1","teaspoon of brandied cherry juice"
"/recipes/1015394-kenneth-mccoys-old-fashioned","House Whiskey","2","ounces of your favorite whiskey"
"/recipes/1015394-kenneth-mccoys-old-fashioned","Orange","","Orange peel"
"/recipes/1015240-better-and-better-cocktail","Velvet Falernum","¼","ounce John D. Taylor’s Velvet Falernum Liqueur"
"/recipes/1015240-better-and-better-cocktail","Smith & Cross","½","ounce Smith and Cross Jamaican Rum"
"/recipes/1015240-better-and-better-cocktail","Fidencio Clasico","1 ½","ounces Fidencio Clasico Mezcal"
"/recipes/1015241-ginger-martini","Ginger","2 to 3","pieces fresh ginger, peeled"
"/recipes/1015241-ginger-martini","Ketel One Citroen","2","ounces Ketel One Citroen vodka"
"/recipes/1015241-ginger-martini","Lemon","½","ounce lemon juice"
"/recipes/1015241-ginger-martini","Simple Syrup","½","ounce simple syrup"
"/recipes/1015241-ginger-martini","Cointreau","¾","ounce Cointreau"
"/recipes/1015241-ginger-martini","Orange","1","dash orange juice"
"/recipes/1015235-pouring-ribbons-sidecar","Demerara Sugar","125","grams (1/2 cup) Demerara sugar"
"/recipes/1015235-pouring-ribbons-sidecar","Orange","","Orange slice, for garnish"
"/recipes/1015235-pouring-ribbons-sidecar","Sugar","","Granulated sugar, for rim"
"/recipes/1015235-pouring-ribbons-sidecar","Pierre Ferrand 1840 Cognac","2","ounces Cognac, preferably Pierre Ferrand 1840"
"/recipes/1015235-pouring-ribbons-sidecar","Pierre Ferrand Dry Curaçao","¾","ounce dry Curaçao, preferably Pierre Ferrand"
"/recipes/1015235-pouring-ribbons-sidecar","Lemon","¾","ounce fresh lemon juice"
"/recipes/1015235-pouring-ribbons-sidecar","House Orange Bitters","1","dash orange bitters"
"/recipes/1015235-pouring-ribbons-sidecar","Orange","","Orange twist"
"/recipes/1015171-la-canadiense","House Canadian Whiskey","2","ounces Canadian whiskey"
"/recipes/1015171-la-canadiense","Joven","1","ounce joven mezcal"
"/recipes/1015171-la-canadiense","Maple Syrup","½","ounce maple syrup"
"/recipes/1015171-la-canadiense","House Apple Bitters","1","dash apple bitters"
"/recipes/1015171-la-canadiense","Fee Brothers Old-Fashioned Bitters","1","dash old-fashioned bitters, preferably Fee Brothers"
"/recipes/1015171-la-canadiense","Orange","","Strip of peel from 1/2 orange"
"/recipes/1015172-they-didnt-burn-rome-in-a-day","Pineapple","¼","ripe pineapple, peeled, cored and chopped"
"/recipes/1015172-they-didnt-burn-rome-in-a-day","Honey","1","teaspoon honey, preferably raw"
"/recipes/1015172-they-didnt-burn-rome-in-a-day","Pink Pepper","1 ½","teaspoons pink peppercorns, crushed in a mortar"
"/recipes/1015172-they-didnt-burn-rome-in-a-day","Ilegal Reposado","4","ounces reposado mezcal, preferably Ilegal"
"/recipes/1015172-they-didnt-burn-rome-in-a-day","House Habañero Bitters","6","dashes chile-flavored bitters, preferably habañero"
"/recipes/1015172-they-didnt-burn-rome-in-a-day","Lime","½","ounce fresh lime juice"
"/recipes/1015173-smoking-jacket","Del Maguey Tobala","¼","ounce mezcal, preferably Del Maguey Tobala, or more to taste"
"/recipes/1015173-smoking-jacket","House Blanco Tequila","1","ounce or less silver tequila, depending on amount of mezcal"
"/recipes/1015173-smoking-jacket","Cointreau","¼","ounce triple sec or Cointreau"
"/recipes/1015173-smoking-jacket","Agave Nectar","¼","ounce agave nectar"
"/recipes/1015173-smoking-jacket","Lime","½","ounce fresh lime juice"
"/recipes/1015173-smoking-jacket","Fernet-Branca","","Dash Fernet Branca"
"/recipes/1015173-smoking-jacket","Egg","1","egg white"
"/recipes/1015173-smoking-jacket","Lime","","Lime wedge"
"/recipes/1015099-scirocco-punch","Lemon","4","lemons"
"/recipes/1015099-scirocco-punch","Lime","8","limes"
"/recipes/1015099-scirocco-punch","Sugar","170","grams granulated sugar (about 3/4 cup)"
"/recipes/1015099-scirocco-punch","House Cognac","1","750-milliliter bottle Cognac"
"/recipes/1015099-scirocco-punch","Maraschino","6","ounces maraschino liqueur (about 3/4 cup)"
"/recipes/1015099-scirocco-punch","Soda Water","3","cups cold soda water"
"/recipes/1015099-scirocco-punch","Nutmeg","1","whole nutmeg"
"/recipes/1015070-in-bloom","Plums","2","medium pitted plums"
"/recipes/1015070-in-bloom","DROP","1 ½","cups water"
"/recipes/1015070-in-bloom","Rosehips Dried","1 ¾","ounces dried rosehips"
"/recipes/1015070-in-bloom","Rosebuds Dried","2 ½","ounces dried rosebuds"
"/recipes/1015070-in-bloom","Dried Hibiscus","¾","ounces dried hibiscus"
"/recipes/1015070-in-bloom","White Vinegar","½","cup plus 2 tablespoons white vinegar"
"/recipes/1015070-in-bloom","Sugar","¼","cup white sugar"
"/recipes/1015069-the-fox-and-the-grapes","Grapes","¼","cup small, sweet grapes"
"/recipes/1015069-the-fox-and-the-grapes","Honey","1","teaspoon honey"
"/recipes/1015069-the-fox-and-the-grapes","House London Dry Gin","1 ½","ounces London dry gin"
"/recipes/1015069-the-fox-and-the-grapes","House Pisco","1 ½","ounces pisco"
"/recipes/1015069-the-fox-and-the-grapes","House Absinthe","","Splash of absinthe"
"/recipes/1015069-the-fox-and-the-grapes","Hyssop Flower","","Hyssop flower for garnish"
"/recipes/1015069-the-fox-and-the-grapes","Club Soda","","Club soda"
"/recipes/1015068-the-merciful-knight","Chamomile Tisane","2","oz. chamomile tisane, cooled"
"/recipes/1015068-the-merciful-knight","Grappa & Camomile Marolo Milla","½","oz. Marolo Milla Grappa & Camomile Liqueur"
"/recipes/1015068-the-merciful-knight","Dolin Dry","½","oz. Dolin blanc vermouth"
"/recipes/1015068-the-merciful-knight","Lavendar","","Lavender sprigs for garnish"
"/recipes/1014989-bull-shot-cocktail","Beef Consummé","2 ½","ounces ( 1/4 cup plus 1 tablespoon) bull-tail consommé, or oxtail or beef consommé"
"/recipes/1014989-bull-shot-cocktail","House Vodka","1 ⅓","ounces (2 tablespoons plus 2 teaspoons) vodka"
"/recipes/1014989-bull-shot-cocktail","Cucumber","¾","ounce (1 1/2 tablespoons) cucumber juice (see note)"
"/recipes/1014989-bull-shot-cocktail","Lemon","½","ounce (1 tablespoon) freshly squeezed lemon juice"
"/recipes/1014989-bull-shot-cocktail","Worcestershire Sauce","½","teaspoon Worcestershire sauce"
"/recipes/1014989-bull-shot-cocktail","Celery Salt","1","pinch celery salt"
"/recipes/1014989-bull-shot-cocktail","Celery","1","slice celery, for garnish"
"/recipes/1014989-bull-shot-cocktail","Cucumber","1","slice cucumber, for garnish"
"/recipes/1014959-frozen-blackberry-margarita","Blackberries","12","large blackberries, stems removed (plus 2 for garnish)"
"/recipes/1014959-frozen-blackberry-margarita","House Reposado Tequila","4","ounces reposado tequila"
"/recipes/1014959-frozen-blackberry-margarita","Grand Marnier","1 ½","ounces Grand Marnier"
"/recipes/1014959-frozen-blackberry-margarita","Lime","2","ounces fresh lime juice"
"/recipes/1014959-frozen-blackberry-margarita","Simple Syrup","1 ½","ounces simple syrup (or more, to taste)"
"/recipes/1014959-frozen-blackberry-margarita","DROP","3","cups ice"
"/recipes/1014959-frozen-blackberry-margarita","Salt","","Mixture of salt and sugar for glass rims"
"/recipes/1014959-frozen-blackberry-margarita","Lime","","Lime wheels"
"/recipes/1014958-frozen-banana-daiquiri","House Dark Rum","2 ½","ounces dark rum"
"/recipes/1014958-frozen-banana-daiquiri","House White Rum","2 ½","ounces light rum"
"/recipes/1014958-frozen-banana-daiquiri","Lime","3","ounces lime juice"
"/recipes/1014958-frozen-banana-daiquiri","Orange","2","ounces orange juice"
"/recipes/1014958-frozen-banana-daiquiri","Frozen Banana","2","large, very ripe, frozen bananas, sliced"
"/recipes/1014958-frozen-banana-daiquiri","Simple Syrup","1","ounce simple syrup"
"/recipes/1014958-frozen-banana-daiquiri","DROP","2","cups ice"
"/recipes/1014957-frozen-pina-colada","House Amber Rum","4","ounces golden rum"
"/recipes/1014957-frozen-pina-colada","Pineapple","4","ounces pineapple juice"
"/recipes/1014957-frozen-pina-colada","Coco López Coconut Cream","4","ounces Coco Lopez cream of coconut"
"/recipes/1014957-frozen-pina-colada","DROP","3","cups ice"
"/recipes/1014893-watermelon-daiquiri","Watermelon","1","small watermelon"
"/recipes/1014893-watermelon-daiquiri","Lime","⅓","cup lime juice"
"/recipes/1014893-watermelon-daiquiri","Honey","1","tablespoon honey"
"/recipes/1014893-watermelon-daiquiri","House Rum","½","cup rum"
"/recipes/1014893-watermelon-daiquiri","DROP","","some ice"
"/recipes/1014892-watermelon-cocktail-with-gin-and-basil","DROP","1","cup water"
"/recipes/1014892-watermelon-cocktail-with-gin-and-basil","Sugar","1","cup sugar"
"/recipes/1014892-watermelon-cocktail-with-gin-and-basil","Basil","","small bunch of basil"
"/recipes/1014892-watermelon-cocktail-with-gin-and-basil","Watermelon","1","small watermelon"
"/recipes/1014892-watermelon-cocktail-with-gin-and-basil","House Gin","½","cup gin"
"/recipes/1014892-watermelon-cocktail-with-gin-and-basil","DROP","","over ice"
"/recipes/1014889-rose-sangria","House Rosé","1","750-ml bottle chilled dry Spanish rosé"
"/recipes/1014889-rose-sangria","House Orange Liqueur","½","cup orange liqueur"
"/recipes/1014889-rose-sangria","Orange","1","cup freshly squeezed orange juice"
"/recipes/1014889-rose-sangria","Lime","2","tablespoons lime juice"
"/recipes/1014889-rose-sangria","Orange","1","orange, unpeeled, cut into thin rounds"
"/recipes/1014889-rose-sangria","Apricot","4","apricots, pitted and cut into eighths"
"/recipes/1014889-rose-sangria","Raspberries","1","pint raspberries"
"/recipes/1014874-sea-breeze","House Vodka","2","ounces vodka"
"/recipes/1014874-sea-breeze","Grapefruit","2","ounces grapefruit juice"
"/recipes/1014874-sea-breeze","Cranberry Juice","2","ounces cranberry juice"
"/recipes/1014874-sea-breeze","DROP","","Salt-and-chili-powder mix for rim, optional"
"/recipes/1014874-sea-breeze","Tabasco Sauce","","Tabasco sauce, optional"
"/recipes/1014874-sea-breeze","Lime","","Lime wedge"
"/recipes/1014873-brighton-beach-breeze","Sorel","1","ounce Sorel liqueur"
"/recipes/1014873-brighton-beach-breeze","House Vodka","1","ounce vodka"
"/recipes/1014873-brighton-beach-breeze","Coconut Water","1","ounce coconut water"
"/recipes/1014873-brighton-beach-breeze","Pomegranate Juice","1","ounce pomegranate juice"
"/recipes/1014873-brighton-beach-breeze","Club Soda","","Club soda"
"/recipes/1014873-brighton-beach-breeze","Mint","","Sprig of mint"
"/recipes/1014873-brighton-beach-breeze","Lime","","Lime wedge"
"/recipes/1014875-madras","House Vodka","2","ounces vodka"
"/recipes/1014875-madras","Cranberry Juice","2","ounces cranberry juice"
"/recipes/1014875-madras","Orange","2","ounces orange juice"
"/recipes/1014875-madras","Triple Sec","","Splash of triple sec"
"/recipes/1014875-madras","Club Soda","","Splash of club soda"
"/recipes/1014875-madras","Orange","","Orange peel"
"/recipes/1014870-screaming-greenie","Sugar","1","cup sugar"
"/recipes/1014870-screaming-greenie","House Vodka","2","ounces vodka"
"/recipes/1014870-screaming-greenie","House Absinthe","½","ounce absinthe"
"/recipes/1014870-screaming-greenie","Lemon","½","ounce fresh lemon juice"
"/recipes/1014870-screaming-greenie","DROP","1","cup ice"
"/recipes/1014870-screaming-greenie","Basil","9","leaves fresh Italian basil"
"/recipes/1014870-screaming-greenie","Lemon","","Lemon wheel"
"/recipes/1015566-gin-and-coconut-water","House London Dry Gin","1 ½","ounces dry gin"
"/recipes/1015566-gin-and-coconut-water","Coconut Water","1 ½","ounces pure coconut water"
"/recipes/1015566-gin-and-coconut-water","Lime","¾","ounce fresh lime juice"
"/recipes/1015566-gin-and-coconut-water","Ginger Juice","","Dash pressed ginger juice"
"/recipes/1015566-gin-and-coconut-water","DROP","","Large ice cubes"
"/recipes/1015566-gin-and-coconut-water","Lime","","Fresh lime wedge for garnish"
"/recipes/1014803-dill-and-garlic-vodka","Dill","½","cup loosely packed dill, washed, patted dry, tough stems removed"
"/recipes/1014803-dill-and-garlic-vodka","Garlic","1","clove peeled garlic"
"/recipes/1014803-dill-and-garlic-vodka","House Vodka","750","milliliters vodka"
"/recipes/1014802-sorrel","DROP","2","quarts water"
"/recipes/1014802-sorrel","Dried Hibiscus","4","cups dried hibiscus flowers"
"/recipes/1014802-sorrel","Cinnamon","3","2-inch cinnamon sticks"
"/recipes/1014802-sorrel","Ginger","3","2-inch pieces of peeled ginger"
"/recipes/1014802-sorrel","Cloves","10","whole cloves"
"/recipes/1014801-sangrita","Orange","4","cups freshly squeezed orange juice"
"/recipes/1014801-sangrita","Lime","1 ½","cups freshly squeezed lime juice"
"/recipes/1014801-sangrita","Grenadine","½","cup grenadine syrup (use one with real pomegranate — like Employees Only or Fee Brothers)"
"/recipes/1014801-sangrita","Ancho-Chili Powder","4","teaspoons ancho-chili powder"
"/recipes/1014801-sangrita","Tabasco Sauce","12","dashes Tabasco (or to your taste)"
"/recipes/1014801-sangrita","Salt","1","teaspoon salt"
"/recipes/1014748-joses-gin-and-tonic","Juniper Berries","3","juniper berries"
"/recipes/1014748-joses-gin-and-tonic","Lime","1","lime wheel"
"/recipes/1014748-joses-gin-and-tonic","Lemon","1","lemon peel"
"/recipes/1014748-joses-gin-and-tonic","Lemon Verbena","1","leaf lemon verbena"
"/recipes/1014748-joses-gin-and-tonic","Hendrick's Gin","1 ½","ounces Hendricks gin"
"/recipes/1014748-joses-gin-and-tonic","Tonic Water","","1-6 8/10-ounce bottle Fever-Tree tonic"
"/recipes/1014754-sangria-compostela","Sugar","1","cup sugar"
"/recipes/1014754-sangria-compostela","Lemongrass","3","lemon grass stalks, chopped"
"/recipes/1014754-sangria-compostela","Apple Juice","10","ounces unsweetened apple juice"
"/recipes/1014754-sangria-compostela","Rosemary","½","sprig rosemary"
"/recipes/1014754-sangria-compostela","Albariño","24","ounces albariño"
"/recipes/1014754-sangria-compostela","House Sake","7 ½","ounces sake"
"/recipes/1014754-sangria-compostela","Lemon","2","ounces fresh lemon juice"
"/recipes/1014754-sangria-compostela","Club Soda","5","ounces club soda"
"/recipes/1014754-sangria-compostela","Mixed Fruit","","Kiwi, green apples, pears, cut into small cubes for garnish"
"/recipes/1014754-sangria-compostela","Rosemary","","Rosemary sprig, for garnish"
"/recipes/1014747-citrus-gin-and-tonic","Oxley Gin","2","ounces gin, preferably Oxley"
"/recipes/1014747-citrus-gin-and-tonic","Tonic Water","1","bottle Fever-Tree Mediterranean tonic"
"/recipes/1014747-citrus-gin-and-tonic","Coriander","3","coriander seeds"
"/recipes/1014747-citrus-gin-and-tonic","Grapefruit","","Grapefruit peel"
"/recipes/1014747-citrus-gin-and-tonic","Mint","1","bruised mint sprig"
"/recipes/1014753-zurracapote","House Red","1 ½","cups dry red wine"
"/recipes/1014753-zurracapote","Sugar","3 ¾","cups sugar"
"/recipes/1014753-zurracapote","Juniper Berries","6","juniper berries, bruised"
"/recipes/1014753-zurracapote","Cinnamon","1","small cinnamon stick"
"/recipes/1014753-zurracapote","Apricot","¾","cup diced dried apricots"
"/recipes/1014753-zurracapote","Golden Raisins","¾","cup golden raisins"
"/recipes/1014753-zurracapote","Zurra Red Wine Syrup","¼","cup zurra red wine syrup"
"/recipes/1014753-zurracapote","House Tempranillo","2","bottles red wine (preferably tempranillo)"
"/recipes/1014753-zurracapote","Orange Torres","½","cup Torres orange liqueur or Triple Sec"
"/recipes/1014753-zurracapote","House Vodka","½","cup vodka"
"/recipes/1014753-zurracapote","Lemon","2","lemons, thinly sliced, for garnish"
"/recipes/1014753-zurracapote","Fuji Apple","2","Fuji apples, cored and diced, for garnish"
"/recipes/1014753-zurracapote","Sprite","12","ounces Sprite, or as needed"
"/recipes/1016301-cantina-band","Fernet-Branca","1 ½","ounces Fernet Branca"
"/recipes/1016301-cantina-band","House Gin","½","ounce gin"
"/recipes/1016301-cantina-band","Lime","1","ounce fresh lime juice"
"/recipes/1016301-cantina-band","Simple Syrup","¾","ounce simple syrup"
"/recipes/1016301-cantina-band","Cucumber","3","slices cucumber"
"/recipes/1016301-cantina-band","Ginger Beer","","Ginger beer"
"/recipes/1016301-cantina-band","Cucumber","","Cucumber slice, for garnish"
"/recipes/1014746-kumquat-and-clove-gin-and-tonic","Kumquats","3","kumquats, cut in half"
"/recipes/1014746-kumquat-and-clove-gin-and-tonic","Cloves","3 to 5","cloves"
"/recipes/1014746-kumquat-and-clove-gin-and-tonic","Dorothy Parker Gin","3","ounces gin, preferably Dorothy Parker American Gin"
"/recipes/1014746-kumquat-and-clove-gin-and-tonic","Tonic Water","1","10-ounce bottle Schweppes tonic, cold"
"/recipes/1016304-white-wine-mojito","Lime","½","lime, cut crosswise"
"/recipes/1016304-white-wine-mojito","Mint","6","fresh mint leaves"
"/recipes/1016304-white-wine-mojito","Agave Syrup","1","teaspoon agave syrup"
"/recipes/1016304-white-wine-mojito","House Sauvignon Blanc","½","cup chilled sauvignon blanc"
"/recipes/1016304-white-wine-mojito","Club Soda","¼","cup chilled club soda"
"/recipes/1014751-sangria-penedes","Mathilde Pêche","10","ounces Mathilde or other peach liqueur"
"/recipes/1014751-sangria-penedes","Grapefruit","2","ounces fresh grapefruit juice"
"/recipes/1014751-sangria-penedes","Scrappy's Lavender Bitters","5","dashes Scrappy’s lavender bitters (see note)"
"/recipes/1014751-sangria-penedes","Simple Syrup","2","ounces simple syrup"
"/recipes/1014751-sangria-penedes","House Cava","1","bottle Cava"
"/recipes/1014751-sangria-penedes","Peach","1","peach, diced into small cubes, for garnish"
"/recipes/1016299-americano","Campari","1 ½","ounces Campari"
"/recipes/1016299-americano","House Sweet Vermouth","1 ½","ounces sweet vermouth"
"/recipes/1016299-americano","Club Soda","","Club soda"
"/recipes/1016299-americano","Orange","","Orange twist, for garnish"
"/recipes/1014760-genevrier-des-sud","Cardamom","","Pinch of ground cardamom"
"/recipes/1014760-genevrier-des-sud","Hendrick's Gin","2","ounces gin, preferably Hendrick’s"
"/recipes/1014760-genevrier-des-sud","Tonic Water","","Tonic water"
"/recipes/1014760-genevrier-des-sud","Grapefruit","1","slice grapefruit"
"/recipes/1014760-genevrier-des-sud","Basil","1","basil leaf"
"/recipes/1016298-kalimotxo","House Spanish Red","3 or 4","ounces dry red wine (preferably Spanish)"
"/recipes/1016298-kalimotxo","Cola","3 or 4","ounces cola"
"/recipes/1016298-kalimotxo","Lemon","1","squeeze lemon juice"
"/recipes/1016298-kalimotxo","Lemon","","Lemon or orange slice, to serve"
"/recipes/1014677-venezuela-libre","Santa Teresa Rum","1 ½","ounces Santa Teresa ‘‘1796’’ Solera Rum"
"/recipes/1014677-venezuela-libre","Fernet-Branca","½","ounce Fernet Branca"
"/recipes/1014677-venezuela-libre","Angostura Aromatic Bitters","1","dash Angostura bitters"
"/recipes/1014653-maple-old-fashioned","Dark Amber Syrup","1","ounce dark amber syrup"
"/recipes/1014653-maple-old-fashioned","Angostura Aromatic Bitters","","Several dashes Angostura bitters"
"/recipes/1014653-maple-old-fashioned","Orange","2","orange wedges"
"/recipes/1014653-maple-old-fashioned","Lemon","2","lemon wedges"
"/recipes/1014653-maple-old-fashioned","House Bourbon","2","ounces bourbon"
"/recipes/1014653-maple-old-fashioned","Sparkling Water","","Sparkling water"
"/recipes/1014653-maple-old-fashioned","Brandied Cherries","","Stemmed maraschino cherry"
"/recipes/1014575-basil-mint-wine-cooler","House Dry White","2","cups dry white wine, chilled"
"/recipes/1014575-basil-mint-wine-cooler","Basil","12","basil leaves, roughly shredded"
"/recipes/1014575-basil-mint-wine-cooler","Mint","3","mint leaves (or another soft herb, or additional basil)"
"/recipes/1014574-fizzy-campari-and-gin","Campari","2","ounces Campari"
"/recipes/1014574-fizzy-campari-and-gin","House Gin","2 ½","ounces gin"
"/recipes/1014574-fizzy-campari-and-gin","Salt","","Pinch salt"
"/recipes/1014574-fizzy-campari-and-gin","Lime","","Lime wedges or lemon twists, for serving"
"/recipes/1014546-brown-corduroy","Bulleit","1","oz. Bulleit Bourbon"
"/recipes/1014546-brown-corduroy","House Orange Bitters","2","dashes orange bitters"
"/recipes/1014546-brown-corduroy","Krusovice Cerne","","Krusovice Cerne beer to top"
"/recipes/1014546-brown-corduroy","Nutmeg","","Grated nutmeg"
"/recipes/1014400-tom-and-jerry","Egg","6","eggs (yolks and whites separated)"
"/recipes/1014400-tom-and-jerry","Sugar","1","pound sugar"
"/recipes/1014400-tom-and-jerry","House Amber Rum","1","ounce añejo rum"
"/recipes/1014400-tom-and-jerry","Vanilla Extract","3","tablespoons vanilla extract"
"/recipes/1014400-tom-and-jerry","Cinnamon","¾","teaspoon ground cinnamon"
"/recipes/1014400-tom-and-jerry","Allspice","¼","teaspoon ground allspice"
"/recipes/1014400-tom-and-jerry","Nutmeg","¼","teaspoon ground nutmeg"
"/recipes/1014400-tom-and-jerry","Cloves","¼","teaspoon ground cloves"
"/recipes/1014400-tom-and-jerry","Angostura Aromatic Bitters","2","dashes Angostura bitters"
"/recipes/1014400-tom-and-jerry","Milk","6","ounces milk"
"/recipes/1014400-tom-and-jerry","House Amber Rum","1","ounce añejo rum"
"/recipes/1014400-tom-and-jerry","House V.S.","1","ounce V.S. Cognac"
"/recipes/1014401-wassail","Honeycrisp Apple","5 to 6","small to medium honey crisp (or Fuji or McIntosh) apples, cored"
"/recipes/1014401-wassail","Light Brown Sugar","½","cup light brown sugar"
"/recipes/1014401-wassail","Dark Brown Sugar","½","cup dark brown sugar"
"/recipes/1014401-wassail","Madeira","2","cups Madeira"
"/recipes/1014401-wassail","London Pride Ale","2","bottles (22 4/10 ounces) London Pride Ale"
"/recipes/1014401-wassail","Cider Strongbow English","4","bottles (48 ounces) Strongbow English Cider"
"/recipes/1014401-wassail","Apple Cider","1","cup apple cider"
"/recipes/1014401-wassail","Cloves","12","whole cloves"
"/recipes/1014401-wassail","Allspice","12","whole allspice berries"
"/recipes/1014401-wassail","Cinnamon","2","cinnamon sticks, 2 inches long"
"/recipes/1014401-wassail","Orange","2","strips orange peel, 2 inches long"
"/recipes/1014401-wassail","Ginger","1","teaspoon ground ginger"
"/recipes/1014401-wassail","Nutmeg","1","teaspoon ground nutmeg"
"/recipes/1014389-nog-the-hard-way","Milk","4","cups whole milk"
"/recipes/1014389-nog-the-hard-way","Sugar","¾","cup sugar"
"/recipes/1014389-nog-the-hard-way","Egg","5","large eggs, separated"
"/recipes/1014389-nog-the-hard-way","Cream","1","cup heavy cream"
"/recipes/1014389-nog-the-hard-way","House Dark Rum","1 ½","cups dark rum"
"/recipes/1014389-nog-the-hard-way","Nutmeg","","Whole nutmeg"
"/recipes/12943-mr-october","Sugar","1","cup sugar"
"/recipes/12943-mr-october","Cinnamon","3","cinnamon sticks"
"/recipes/12943-mr-october","Laird's Bonded Apple Brandy","1 ½","ounces Laird’s bonded apple brandy (be certain it’s the bonded version)"
"/recipes/12943-mr-october","Lemon","¾","ounce lemon juice"
"/recipes/12943-mr-october","Galliano","½","ounce Galliano liqueur"
"/recipes/12943-mr-october","St. Elizabeth Allspice Dram","2","dashes St. Elizabeth Allspice Dram"
"/recipes/12943-mr-october","Nutmeg","","Pinch ground nutmeg"
"/recipes/12942-crystal-fall","Sugar","1","cup sugar"
"/recipes/12942-crystal-fall","Pierre Ferrand 1840 Cognac","1 ½","ounces Cognac, preferably Pierre Ferrand 1840"
"/recipes/12942-crystal-fall","Lemon Hart Rum","½","ounce Lemon Hart Demerara rum"
"/recipes/12942-crystal-fall","Lustau Palo Cortado Sherry","¼","ounce palo cortado sherry, preferably Lustau"
"/recipes/12942-crystal-fall","Ginger Syrup","¼","ounce ginger syrup (brands available at Whole Foods and many other stores include the Ginger People and Morris Kitchen, of Brooklyn)"
"/recipes/12942-crystal-fall","Apple Cider","¾","ounce fresh apple cider"
"/recipes/12942-crystal-fall","Lemon","½","ounce lemon juice"
"/recipes/12942-crystal-fall","Angostura Aromatic Bitters","1","dash Angostura bitters"
"/recipes/12942-crystal-fall","Apple","","Apple slice"
"/recipes/12924-autumn-bonfire","Apple Cider","1","oz. nonalcoholic apple cider or juice"
"/recipes/12924-autumn-bonfire","Applejack","1","oz. applejack"
"/recipes/12924-autumn-bonfire","Bowmore 12","1","oz. smoky Scottish whisky (I like Bowmore 12)"
"/recipes/12924-autumn-bonfire","Maple Syrup","1","scant teaspoon maple syrup"
"/recipes/12924-autumn-bonfire","Brooklyn Hemispherical Black Mission Fig Bitters","2","dashes bitters (I prefer Brooklyn Hemispherical Black Mission Fig, but Angostura works, too)."
"/recipes/12823-lemon-gin-granita","Honey","¼","cup honey"
"/recipes/12823-lemon-gin-granita","Lemon","1","tbsp. lemon juice"
"/recipes/12823-lemon-gin-granita","Lemon","1","tsp. lemon zest"
"/recipes/12823-lemon-gin-granita","Nolet's Gin","¾","cup floral gin (I like Nolet’s)"
"/recipes/12824-rum-raisin-hot-cocoa","Cocoa Powder","2","tsp. cocoa powder"
"/recipes/12824-rum-raisin-hot-cocoa","Demerara Sugar","1 ½","tsp. demerara sugar"
"/recipes/12824-rum-raisin-hot-cocoa","House Dark Crème de Cacao","1","tsp. dark crème de cacao"
"/recipes/12824-rum-raisin-hot-cocoa","Half-and-Half","","Half-and-half as needed (about 1 tbsp.)"
"/recipes/12824-rum-raisin-hot-cocoa","Milk","7","oz. milk"
"/recipes/12824-rum-raisin-hot-cocoa","House Dark Rum","1","oz. dark rum"
"/recipes/12824-rum-raisin-hot-cocoa","Rum Soaked Raisins","3","rum-soaked raisins"
"/recipes/12824-rum-raisin-hot-cocoa","Cream","","Whipped cream"
"/recipes/12853-corpse-reviver-variation","House Gin","1 ½","oz. gin"
"/recipes/12853-corpse-reviver-variation","Cointreau","½","oz. Cointreau"
"/recipes/12853-corpse-reviver-variation","Lillet Blanc","½","oz. Lillet Blanc"
"/recipes/12853-corpse-reviver-variation","Lemon","¾","oz. fresh lemon juice"
"/recipes/12853-corpse-reviver-variation","Simple Syrup","½","oz. simple syrup"
"/recipes/12853-corpse-reviver-variation","House Absinthe","1","dash absinthe"
"/recipes/12854-the-said-and-done","House Gin","1 ½","oz. gin"
"/recipes/12854-the-said-and-done","Lemon","½","oz. fresh lemon juice"
"/recipes/12854-the-said-and-done","Ginger","1","small piece of fresh peeled ginger"
"/recipes/12854-the-said-and-done","Simple Syrup","½","oz. simple syrup"
"/recipes/12854-the-said-and-done","Orange","1","oz. orange juice"
"/recipes/12854-the-said-and-done","House Orange Bitters","2","dashes orange bitters"
"/recipes/12854-the-said-and-done","DROP","",""
"/recipes/12855-dees-margarita","Herradura Reposado","2","oz. Herradura reposado tequila"
"/recipes/12855-dees-margarita","Cointreau","1","oz. Cointreau"
"/recipes/12855-dees-margarita","Lime","","the juice of 1 medium lime"
"/recipes/1015304-limoncello-once-removed","Everclear","1 ¾","liters of Everclear, or other strong or overproof spirit"
"/recipes/1015304-limoncello-once-removed","Lemon","18","lemons, whole, well washed, preferably organic"
"/recipes/1015304-limoncello-once-removed","Sugar","","superfine or white sugar"
